Nodes;Dim;Test;Job;JobId;Alias;Feature;Worker;Duration
5;500;1;1;1485939535932_0022;A,B,matrix1,matrix2;HASH_JOIN;w1;152
5;500;1;1;1485939535932_0022;A,B,matrix1,matrix2;HASH_JOIN;w2;125
5;500;1;1;1485939535932_0022;A,B,matrix1,matrix2;HASH_JOIN;w3;127
5;500;1;1;1485939535932_0022;A,B,matrix1,matrix2;HASH_JOIN;w4;126
5;500;1;2;1485939535932_0023;C,multiplied_matrices;GROUP_BY,COMBINER;ma;353
5;500;1;2;1485939535932_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w1;343
5;500;1;2;1485939535932_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w2;345
5;500;1;2;1485939535932_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w3;343
5;500;1;2;1485939535932_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w4;346
5;500;2;1;1485939535932_0024;A,B,matrix1,matrix2;HASH_JOIN;ma;158
5;500;2;1;1485939535932_0024;A,B,matrix1,matrix2;HASH_JOIN;w1;147
5;500;2;1;1485939535932_0024;A,B,matrix1,matrix2;HASH_JOIN;w2;145
5;500;2;1;1485939535932_0024;A,B,matrix1,matrix2;HASH_JOIN;w3;152
5;500;2;1;1485939535932_0024;A,B,matrix1,matrix2;HASH_JOIN;w4;145
5;500;2;2;1485939535932_0025;C,multiplied_matrices;GROUP_BY,COMBINER;ma;317
5;500;2;2;1485939535932_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w1;329
5;500;2;2;1485939535932_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w2;317
5;500;2;2;1485939535932_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w3;317
5;500;2;2;1485939535932_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w4;317
5;500;3;1;1485939535932_0026;A,B,matrix1,matrix2;HASH_JOIN;ma;149
5;500;3;1;1485939535932_0026;A,B,matrix1,matrix2;HASH_JOIN;w1;143
5;500;3;1;1485939535932_0026;A,B,matrix1,matrix2;HASH_JOIN;w2;129
5;500;3;1;1485939535932_0026;A,B,matrix1,matrix2;HASH_JOIN;w3;143
5;500;3;1;1485939535932_0026;A,B,matrix1,matrix2;HASH_JOIN;w4;131
5;500;3;2;1485939535932_0027;C,multiplied_matrices;GROUP_BY,COMBINER;ma;326
5;500;3;2;1485939535932_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w1;340
5;500;3;2;1485939535932_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w2;326
5;500;3;2;1485939535932_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w3;326
5;500;3;2;1485939535932_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w4;326
5;500;4;1;1485939535932_0028;A,B,matrix1,matrix2;HASH_JOIN;ma;144
5;500;4;1;1485939535932_0028;A,B,matrix1,matrix2;HASH_JOIN;w1;138
5;500;4;1;1485939535932_0028;A,B,matrix1,matrix2;HASH_JOIN;w2;124
5;500;4;1;1485939535932_0028;A,B,matrix1,matrix2;HASH_JOIN;w3;123
5;500;4;1;1485939535932_0028;A,B,matrix1,matrix2;HASH_JOIN;w4;139
5;500;4;2;1485939535932_0029;C,multiplied_matrices;GROUP_BY,COMBINER;ma;318
5;500;4;2;1485939535932_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w1;320
5;500;4;2;1485939535932_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w2;318
5;500;4;2;1485939535932_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w3;318
5;500;4;2;1485939535932_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w4;335
5;500;5;1;1485939535932_0030;A,B,matrix1,matrix2;HASH_JOIN;ma;122
5;500;5;1;1485939535932_0030;A,B,matrix1,matrix2;HASH_JOIN;w1;116
5;500;5;1;1485939535932_0030;A,B,matrix1,matrix2;HASH_JOIN;w2;117
5;500;5;1;1485939535932_0030;A,B,matrix1,matrix2;HASH_JOIN;w3;122
5;500;5;1;1485939535932_0030;A,B,matrix1,matrix2;HASH_JOIN;w4;135
5;500;5;2;1485939535932_0031;C,multiplied_matrices;GROUP_BY,COMBINER;ma;288
5;500;5;2;1485939535932_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w1;289
5;500;5;2;1485939535932_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w2;287
